,OA11CD,locationCount
0,E00000778,1
1,E00002822,115
2,E00174683,3
3,E00004664,11
4,E00004666,23
5,E00004179,18
6,E00004527,157
7,E00004665,1
8,E00174664,18
9,E00174665,2
10,E00004670,2
11,E00004724,7
12,E00004674,5
13,E00004677,1
14,E00004671,6
15,E00174655,108
16,E00174654,5
17,E00004197,74
18,E00004558,9
19,E00004559,22
20,E00004734,3
21,E00004701,37
22,E00004189,18
23,E00004195,33
24,E00004200,5
25,E00004175,4
26,E00004174,147
27,E00004177,25
28,E00004172,97
29,E00004529,99
30,E00004672,7
31,E00004691,4
32,E00004693,24
33,E00004699,61
34,E00004524,336
35,E00004526,23
36,E00004523,185
37,E00004687,2
38,E00004531,17
39,E00174671,5
40,E00004545,1
41,E00004544,23
42,E00004546,58
43,E00004541,7
44,E00004187,40
45,E00004540,4
46,E00004543,18
47,E00004537,3
48,E00004535,41
49,E00174674,12
50,E00004646,5
51,E00004492,1
52,E00004225,4
53,E00004662,9
54,E00174659,444
55,E00004689,1
56,E00004681,99
57,E00174660,14
58,E00174661,9
59,E00174663,2
60,E00004542,17
61,E00004547,114
62,E00004697,13
63,E00004695,10
64,E00174650,14
65,E00004182,8
66,E00004180,19
67,E00004528,37
68,E00004705,1
69,E00004560,83
70,E00004561,6
71,E00004194,5
72,E00004193,29
73,E00004199,151
74,E00004198,113
75,E00004658,25
76,E00004650,18
77,E00004651,1
78,E00004653,1
79,E00004669,3
80,E00004536,21
81,E00004522,1035
82,E00004525,44
83,E00004694,235
84,E00004696,1
85,E00004169,27
86,E00004553,19
87,E00004554,105
88,E00004557,7
89,E00004556,25
90,E00004551,13
91,E00004188,12
92,E00004181,18
93,E00004678,8
94,E00004655,21
95,E00004652,6
96,E00004656,45
97,E00004173,667
98,E00174653,113
99,E00174651,8
100,E00174652,1
101,E00004731,183
102,E00004683,1
103,E00004521,25
104,E00174679,42
105,E00174676,6
106,E00174675,13
107,E00004649,18
108,E00004647,10
109,E00004185,463
110,E00004548,27
111,E00004539,3
112,E00004532,8
113,E00004530,72
114,E00004729,2
115,E00000035,1705
116,E00000025,178
117,E00000024,1375
118,E00000027,108
119,E00000026,159
120,E00000023,5
121,E00166756,31
122,E00166757,340
123,E00166755,1640
124,E00166758,2
125,E00000030,41
126,E00000018,502
127,E00000019,6
128,E00000013,5
129,E00000014,1
130,E00000017,85
131,E00000001,19
132,E00000003,3
133,E00000007,151
134,E00000028,60
135,E00000029,12
136,E00000021,38
137,E00006111,1
138,E00006949,2
139,E00171153,2
140,E00176490,1
141,E00008149,2
142,E00008872,14
143,E00176309,16
144,E00008882,1
145,E00008881,1
146,E00008883,10
147,E00176276,485
148,E00176278,13
149,E00008884,53
150,E00176275,238
151,E00176282,109
152,E00176260,149
153,E00008834,159
154,E00176255,11
155,E00176308,501
156,E00008861,9
157,E00008878,1
158,E00176283,26
159,E00176312,65
160,E00176261,137
161,E00008879,39
162,E00008877,5
163,E00176311,22
164,E00176307,72
165,E00176305,554
166,E00009390,8
167,E00009392,16
168,E00009394,2
169,E00009315,7
170,E00009542,86
171,E00009543,2
172,E00009546,14
173,E00009547,73
174,E00009540,4
175,E00009541,1
176,E00009425,8
177,E00009266,1
178,E00009414,1
179,E00009406,1
180,E00009487,55
181,E00009402,6
182,E00009229,28
183,E00009227,2
184,E00009256,3
185,E00009258,1
186,E00009249,1
187,E00009749,32
188,E00009770,1
189,E00009763,60
190,E00009553,2
191,E00009343,2
192,E00009342,1
193,E00009345,87
194,E00009629,4
195,E00009346,3
196,E00009615,15
197,E00009614,14
198,E00009503,21
199,E00009504,2
200,E00009358,5
201,E00009437,37
202,E00009434,20
203,E00009332,1
204,E00009334,22
205,E00009337,10
206,E00009518,8
207,E00009331,2
208,E00009350,24
209,E00167284,3
210,E00009365,2
211,E00009555,12
212,E00009723,98
213,E00009623,5
214,E00009238,9
215,E00009757,33
216,E00009778,26
217,E00009779,1
218,E00009772,7
219,E00009768,29
220,E00009764,3
221,E00009766,1
222,E00009767,3
223,E00009296,1
224,E00009441,6
225,E00009448,1
226,E00009499,1
227,E00167297,7
228,E00009239,2
229,E00009237,2
230,E00009228,2
231,E00009254,5
232,E00009319,2
233,E00009520,3
234,E00009521,9
235,E00009523,6
236,E00009593,3
237,E00009328,1
238,E00009322,1
239,E00009327,6
240,E00009325,2
241,E00009234,1
242,E00009231,9
243,E00009625,6
244,E00009624,3
245,E00009621,2
246,E00009620,29
247,E00009463,4
248,E00009462,10
249,E00009616,593
250,E00009617,34
251,E00009457,2
252,E00009454,1
253,E00009539,8
254,E00009531,1
255,E00009533,3
256,E00009535,5
257,E00009263,3
258,E00009619,38
259,E00009419,21
260,E00009498,2
261,E00009413,1
262,E00009590,137
263,E00009699,1
264,E00009246,2
265,E00009600,1
266,E00009631,1
267,E00009632,3
268,E00167283,10
269,E00009357,2
270,E00009248,8
271,E00009244,9
272,E00009324,1
273,E00009560,1
274,E00009528,1
275,E00009408,9
276,E00009400,9
277,E00009409,18
278,E00009387,507
279,E00009776,1
280,E00009777,1
281,E00009527,1
282,E00009780,6
283,E00009525,2
284,E00009444,2
285,E00009440,22
286,E00009261,2
287,E00009268,2
288,E00009262,10
289,E00009260,7
290,E00009265,3
291,E00009370,1
292,E00009561,4
293,E00009572,1
294,E00009427,3
295,E00009424,18
296,E00009352,7
297,E00009536,1
298,E00009537,3
299,E00009551,3
300,E00009558,1
301,E00009550,1
302,E00009395,3
303,E00009317,4
304,E00009396,25
305,E00009316,9
306,E00009397,8
307,E00009391,3
308,E00009386,10
309,E00009563,26
310,E00009618,1
311,E00009330,4
312,E00009588,1
313,E00009548,7
314,E00009447,4
315,E00009259,8
316,E00009405,2
317,E00009578,5
318,E00167282,664
